,Unnamed: 0,word,sentiment,lexicon,score,part
355,356,chastity,positive,nrc,,NN
356,357,chattering,positive,nrc,,VBG
357,358,checklist,positive,nrc,,NN
358,359,cheer,positive,nrc,,NN
359,360,cheerful,positive,nrc,,NN
360,361,cheerfulness,positive,nrc,,NN
361,362,cheering,positive,nrc,,VBG
362,363,cheery,positive,nrc,,NN
363,364,chemist,positive,nrc,,NN
364,365,cherish,positive,nrc,,NN
365,366,cherry,positive,nrc,,NN
366,367,chieftain,positive,nrc,,NN
367,368,child,positive,nrc,,NN
368,369,childhood,positive,nrc,,NN
369,370,chirp,positive,nrc,,NN
370,371,chisel,positive,nrc,,NN
371,372,chivalry,positive,nrc,,NN
372,373,chocolate,positive,nrc,,NN
373,374,choice,positive,nrc,,NN
374,375,choir,positive,nrc,,NN
375,376,choral,positive,nrc,,JJ
376,377,chorus,positive,nrc,,NN
377,378,chosen,positive,nrc,,NN
378,379,chowder,positive,nrc,,NN
379,380,chronicle,positive,nrc,,NN
380,381,chuckle,positive,nrc,,NN
381,382,church,positive,nrc,,NN
382,383,cider,positive,nrc,,NN
383,384,circumcision,positive,nrc,,NN
384,385,circumvention,positive,nrc,,NN
385,386,citizen,positive,nrc,,NN
386,387,civil,positive,nrc,,JJ
387,388,civility,positive,nrc,,NN
388,389,civilization,positive,nrc,,NN
389,390,civilized,positive,nrc,,VBN
390,391,clairvoyant,positive,nrc,,NN
391,392,clap,positive,nrc,,NN
392,393,clarify,positive,nrc,,NN
393,394,classic,positive,nrc,,JJ
394,395,classical,positive,nrc,,JJ
395,396,classics,positive,nrc,,NNS
396,397,classify,positive,nrc,,NN
397,398,clean,positive,nrc,,NN
398,399,cleaning,positive,nrc,,NN
399,400,cleanliness,positive,nrc,,NN
400,401,cleanly,positive,nrc,,RB
401,402,cleanse,positive,nrc,,NN
402,403,cleansing,positive,nrc,,VBG
403,404,clearance,positive,nrc,,NN
404,405,clearness,positive,nrc,,NN
405,406,clerical,positive,nrc,,NN
406,407,clever,positive,nrc,,NN
407,408,cleverness,positive,nrc,,NN
408,409,climax,positive,nrc,,NN
409,410,closeness,positive,nrc,,NN
410,411,closure,positive,nrc,,NN
411,412,clothe,positive,nrc,,NN
412,413,clown,positive,nrc,,NN
413,414,coalition,positive,nrc,,NN
414,415,coast,positive,nrc,,NN
415,416,coexist,positive,nrc,,NN
416,417,cogent,positive,nrc,,NN
